Block,Hash,Date,Previous Hash,Signature,Coin,Difficulty,Daddy,Time
1,0,17-04-2023 17:29:19,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,33
1,0,17-04-2023 17:30:32,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,73
1,1,17-04-2023 17:30:57,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,25
1,1,17-04-2023 17:32:56,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,119
1,11,17-04-2023 17:33:01,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,5
1,1,17-04-2023 17:33:12,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,11
1,11,17-04-2023 17:33:30,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,18
1,11,17-04-2023 17:33:46,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,16
1,0,17-04-2023 17:34:19,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,33
1,11,17-04-2023 17:34:34,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,15
1,11,17-04-2023 17:34:54,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,20
1,11,17-04-2023 17:34:59,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,5
1,10,17-04-2023 17:35:12,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,13
1,0,17-04-2023 17:35:21,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,9
1,0,17-04-2023 17:37:55,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,154
1,0,17-04-2023 17:38:52,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,57
1,1,17-04-2023 17:39:58,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,66
1,1,17-04-2023 17:41:00,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,62
1,0,17-04-2023 17:41:03,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,3
1,0,17-04-2023 17:41:50,101.0,f28360c527e6df1d27dad424a9310c05bf15b9f0d6909d4e5cadeaf8a3bbd9e313861c4d4881f42a232c3902925189ea79a033040218cf08e21b668079fc8a01,4654665.0,,False,47
